,composition,actual_hardness,predicted_hardness,y_lower,y_upper,y_std,y_std_calib,load
203,IrB1.35,21.3,16.539967,14.529863,20.526384,1.5297247,51.300434,4.9
204,IrB1.35,49.8,26.107512,20.581385,28.081932,1.913405,64.16743,0.49
205,IrB1.35,18.2,16.516808,14.529863,20.526384,1.5297247,51.300434,9.81
206,La0.5Ce0.5O1.75,7.378,5.7854667,4.6997566,6.366273,0.4251317,15.224476,9.8
207,La3Te4,4.315,4.0912013,4.1514626,5.134938,0.25088653,10.623589,0.49
208,LaB6,27.16,27.37396,25.728853,32.09385,1.6237234,61.79871,0.29
209,LaC2,2.4,1.0764117,2.1531036,7.660064,1.4048369,60.12931,2.942
210,LaCo0.75Ni3.95Al0.3,7.3,5.3202085,4.7260714,6.515608,0.4565144,15.309543,0.98
211,LaCo2.5Ni2.5,4.78,6.520364,4.40989,6.3709435,0.5002687,17.915222,0.98
212,LaMnNi4,6.01,4.9979453,4.1115947,7.4916453,0.8622578,36.511612,0.49
213,LaNi3.5Al1.5,5.38,6.650389,4.9141045,7.8989706,0.7614454,28.980516,0.49
214,LaRh3B,4.2,5.0564303,4.733356,6.2797933,0.3944993,13.229821,2.94
215,Lu2Fe14C,8.05,7.0158625,5.0029507,8.0630045,0.78062594,27.95515,0.98
216,LuAl3,4.33,5.266783,3.7228549,4.9860206,0.32223615,13.644831,0.98
217,LuC2,5.88,13.573297,9.513247,15.764622,1.5947385,57.109497,1.72
218,LuRh3B,7.7,3.8661118,5.0570817,7.234705,0.5555161,18.629639,2.94
219,Mg2B25C4,32.0,31.39605,28.842123,35.870007,1.7928274,76.73594,2.0
220,MgB2,5.2,14.462569,13.55901,16.777063,0.8209321,31.244574,0.98
221,MgCr0.2Al1.8O4,16.24,13.379201,9.603531,14.600202,1.2746608,45.647133,2.45
222,MgLaAl11O19,14.4,14.350645,9.673668,15.855928,1.5771072,66.781334,3.92
223,Mn0.04W0.96B4,53.68335825,53.117817,42.434967,52.430176,2.549798,91.311325,0.49
224,Mn0.04W0.96B4,44.24763328,44.269238,37.588356,45.185333,1.9380044,69.40226,0.98
225,Mn0.04W0.96B4,36.43124066,38.35035,34.008286,39.761166,1.4675714,52.555492,1.96
226,Mn0.04W0.96B4,34.2202292,35.543938,32.479595,37.175842,1.1980222,42.902615,2.94
227,Mn0.04W0.96B4,31.69780767,32.901665,30.936438,35.240086,1.0978694,39.31602,4.9
228,Mn0.33Pt0.67,1.13,2.026103,1.1356133,2.8113976,0.42749596,16.270443,9.8
229,Mn0.3W0.7B4,47.17488789,43.227722,39.06585,44.852978,1.4763082,49.50907,0.49
230,Mn0.3W0.7B4,39.57648231,36.622227,34.1399,38.502453,1.1128961,37.32178,0.98
231,Mn0.3W0.7B4,33.84653712,33.0769,30.900484,34.326923,0.8740916,29.3133,1.96
232,Mn0.3W0.7B4,32.38290982,30.80254,29.236631,32.206867,0.7577132,25.410463,2.94
233,Mn0.3W0.7B4,30.04733433,28.601292,27.516441,30.20952,0.68700993,23.03938,4.9
234,Mn0.5W0.5B4,41.00896861,39.74772,38.025837,45.612984,1.9354966,81.95705,0.49
235,Mn0.5W0.5B4,32.2894868,34.057835,33.366306,39.1104,1.4653302,62.048233,0.98
236,Mn0.5W0.5B4,30.10961634,30.367401,30.021477,34.527428,1.1494772,48.67369,1.96
237,Mn0.5W0.5B4,28.9573991,28.778965,28.797205,32.389072,0.9162927,38.79968,2.94
238,Mn0.5W0.5B4,26.71524664,26.621624,26.957409,30.694487,0.9533361,40.36825,4.9
239,Mn2B,17.45,13.9130945,9.437384,11.66548,0.5683918,24.328096,0.49
240,Mn5Si3,8.3,8.165861,7.104142,8.751723,0.4203013,14.09511,0.98
241,MnB,18.0,14.5886965,12.048834,18.372171,1.6130962,57.76691,0.49
242,MnB2,12.4,17.1607,18.84306,27.209663,2.1343377,90.376816,0.49
243,MnB50,41.29,38.53489,35.930252,43.856525,2.0220084,76.95739,0.49
244,MnSi,11.2,9.7652235,7.727681,10.071533,0.59792143,25.592012,0.98
245,Mo0.03W0.97B4,50.31496063,47.702976,41.38186,50.440594,2.3109016,98.91036,0.49
246,Mo0.03W0.97B4,45.07874016,41.061424,36.354733,42.833412,1.6527244,70.7393,0.98
247,Mo0.03W0.97B4,40.31496063,35.935814,32.67739,37.665848,1.2725655,54.46788,1.96
248,Mo0.03W0.97B4,36.33858268,33.17808,31.305368,35.497112,1.0693223,45.76874,2.94
249,Mo0.03W0.97B4,33.42519685,30.8819,29.58879,33.655483,1.0374215,44.40333,4.9
250,Mo0.1W0.9B4,43.66141732,50.280502,42.472958,51.58515,2.3245392,77.95512,0.49
251,Mo0.1W0.9B4,38.11023622,41.487263,37.642662,44.460217,1.739172,58.324398,0.98
252,Mo0.1W0.9B4,34.17322835,36.958176,34.08667,39.062683,1.2693911,42.569954,1.96
253,Mo0.1W0.9B4,31.92913386,34.657017,32.422924,36.55057,1.0529712,35.312157,2.94
254,Mo0.1W0.9B4,29.60629921,31.927868,30.730288,34.6167,0.99143153,33.24838,4.9
255,Mo0.2Pt0.8,1.06,1.3524654,1.1517799,4.695804,0.9040878,30.319242,9.8
256,Mo0.5W0.5B4,39.6,43.42109,38.722652,44.531403,1.481824,49.69405,0.49
257,Mo0.5W0.5B4,33.0,36.794304,33.937763,38.85609,1.2546753,42.07645,0.98
258,Mo0.5W0.5B4,30.0,33.214867,30.464708,34.633923,1.063575,35.667763,1.96
259,Mo0.5W0.5B4,26.0,28.787977,27.177458,30.627058,0.88000005,29.511442,4.9
260,Mo0.65Os0.35,14.06,12.746001,8.617044,15.911743,1.8608925,62.406387,0.98
261,Mo0.6Ru0.4,10.0,12.411069,8.451427,16.011356,1.9285532,69.063805,0.49
262,Mo2B,24.52,15.929256,11.0154295,20.22707,2.349908,89.43721,0.49
263,Mo3.2Pt0.8,13.53,11.121451,6.5079303,13.150018,1.6944101,72.52351,0.98
264,Mo3Fe3N,20.3,14.912664,10.784716,14.215871,0.8752947,29.353645,0.98
265,Mo3Ni2N,20.5,15.376223,11.187384,13.167359,0.50509584,18.088087,0.98
266,Mo3Os,12.07,12.091157,8.742901,14.866939,1.5622545,66.15241,0.98
267,Mo3Pd2N,17.1,12.923694,11.947261,14.7641945,0.7186055,27.350037,0.49
268,Mo3Pt2N,19.4,15.890268,11.320725,15.566066,1.0829949,46.35395,0.98
269,MoB,23.78,21.810625,17.146128,24.862953,1.9685779,66.01769,0.49
270,MoB2,23.04,29.294264,26.659714,34.059284,1.8876455,67.59885,0.49
271,MoFe2,4.8,6.2643137,5.13631,11.595371,1.6477196,69.77136,0.5
272,MoPt,12.75,10.584029,5.2750626,9.545216,1.0893247,41.459564,0.98
273,Nb,0.53,8.192221,6.617818,12.950347,1.6154411,57.850883,0.98
274,Nb0.07Fe0.81B0.12,5.673,9.117342,8.657999,9.54714,0.2268217,7.6066313,1.0
275,Nb0.07Pt0.93,1.16,1.9991555,1.3023885,5.5956206,1.0952122,39.220863,9.8
276,Nb0.67Al0.33,12.26,5.2252226,4.2985215,8.41242,1.049464,35.19454,0.98
277,Nb0.95Al0.05,4.41,7.995277,6.551953,13.212728,1.6991771,60.84957,0.98
278,Nb2Al,3.7265,10.789712,6.456025,10.040666,0.9144491,38.72161,0.98
279,Nb3B2,10.46,14.098605,13.601432,20.561623,1.7755588,63.584892,0.49
280,Nb3B2,5.08,8.822274,11.505124,15.083014,0.9127269,32.685844,1.96
281,Nb3Ga,9.81,7.6581554,5.818039,8.357473,0.64781487,24.655754,0.49
282,Nb3Ge,9.11,8.97186,7.4470425,10.391305,0.75108737,32.147766,0.98
283,Nb3Si,7.12,8.284962,7.2986736,11.611737,1.1002713,36.8984,0.49
284,Nb3Sn,6.8,8.497786,7.634064,8.4220705,0.20102201,7.198839,0.98
285,Nb3Sn0.5Ge0.5,9.1,7.295158,6.855216,8.463858,0.41036776,17.376694,0.98
286,Nb5Ga3,10.42,8.66082,5.137386,8.599381,0.88316214,33.61304,0.98
287,Nb5GaSn2,9.65,9.07122,6.0675473,9.917748,0.9821941,42.039513,0.98
288,Nb5Ge3,10.42,8.094479,7.1186724,10.570304,0.88051826,29.528822,0.98
289,NbB,21.53,24.722385,22.578978,24.7771,0.5607454,23.744314,0.49
290,NbB,16.58,19.01828,17.81371,19.49867,0.42983705,18.201105,1.96
291,NbCr2,2.704,5.6021895,3.693547,8.351316,1.1882064,42.551098,4.9
292,NbGe2,7.8,9.386677,6.9098516,9.312418,0.6128996,25.952742,0.98
293,NbN,20.0,18.235748,16.67385,20.195366,0.8983461,34.19094,0.49
294,NdB6,24.91,28.77399,21.764547,24.092293,0.5938126,25.416147,0.69
295,NdC2,2.35,2.8879657,1.7852826,3.8417675,0.5246135,17.593296,1.72
